"REF_DATE","GEO","DGUID","Work status","Age group","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4236","","","","0"
"2007/2008","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4230","","","","0"
"2008/2009","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4176","","","","0"
"2009/2010","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4182","","","","0"
"2010/2011","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4194","","","","0"
"2011/2012","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4008","","","","0"
"2012/2013","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4104","","","","0"
"2013/2014","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4125","","","","0"
"2014/2015","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4128","","","","0"
"2015/2016","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4161","","","","0"
"2016/2017","Manitoba","2016A000246","All educators","All ages","Males","Number","223","units","0","v65933761","8.1.1.2","4212","","","","0"
"2002/2003","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3804","","","","0"
"2003/2004","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3747","","","","0"
"2004/2005","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3621","","","","0"
"2005/2006","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3573","","","","0"
"2006/2007","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3555","","","","0"
"2007/2008","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3447","","","","0"
"2008/2009","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3135","","","","0"
"2009/2010","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3168","","","","0"
"2010/2011","Saskatchewan","2016A000247","All educators","All ages","Males","Number","223","units","0","v65933905","9.1.1.2","3168","","","","0"
