artist,track,id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,release_year,release_date_length
Zhané,Hey Mr. D.J.,5xka4Z5fOoXt0v9Qxpzh6t,1994-02-08,0.873,0.563,2.0,-8.172,1.0,0.0623,0.0367,0.00141,0.0945,0.851,101.315,audio_features,spotify:track:5xka4Z5fOoXt0v9Qxpzh6t,https://api.spotify.com/v1/tracks/5xka4Z5fOoXt0v9Qxpzh6t,https://api.spotify.com/v1/audio-analysis/5xka4Z5fOoXt0v9Qxpzh6t,250667.0,4.0,1994,10.0
Cypress Hill,Insane in the Brain,3g2gE5LtNn4P4kPeZVxQW8,2008-03-25,0.902,0.717,8.0,-7.979,0.0,0.175,0.0201,0.108,0.136,0.735,102.181,audio_features,spotify:track:3g2gE5LtNn4P4kPeZVxQW8,https://api.spotify.com/v1/tracks/3g2gE5LtNn4P4kPeZVxQW8,https://api.spotify.com/v1/audio-analysis/3g2gE5LtNn4P4kPeZVxQW8,207013.0,4.0,2008,10.0
Madonna,Deeper and Deeper,6KU8g98m1tcrUXRNjPQeOI,1992-10-20,0.659,0.818,7.0,-7.09,0.0,0.0265,0.00601,0.299,0.336,0.39,119.943,audio_features,spotify:track:6KU8g98m1tcrUXRNjPQeOI,https://api.spotify.com/v1/tracks/6KU8g98m1tcrUXRNjPQeOI,https://api.spotify.com/v1/audio-analysis/6KU8g98m1tcrUXRNjPQeOI,333467.0,4.0,1992,10.0
Madonna,Rain,3b3PnE1ROIZzILjmCGjVib,1992-10-20,0.592,0.642,10.0,-9.38,1.0,0.026,0.0883,0.00134,0.131,0.16,92.419,audio_features,spotify:track:3b3PnE1ROIZzILjmCGjVib,https://api.spotify.com/v1/tracks/3b3PnE1ROIZzILjmCGjVib,https://api.spotify.com/v1/audio-analysis/3b3PnE1ROIZzILjmCGjVib,328987.0,4.0,1992,10.0
Jeremy Jordan,The Right Kind of Love,6WTwlLmhaq935X1jCq19wT,1992-03-31,0.712,0.597,5.0,-9.411,0.0,0.0361,0.199,0.0,0.043,0.917,178.36,audio_features,spotify:track:6WTwlLmhaq935X1jCq19wT,https://api.spotify.com/v1/tracks/6WTwlLmhaq935X1jCq19wT,https://api.spotify.com/v1/audio-analysis/6WTwlLmhaq935X1jCq19wT,285373.0,4.0,1992,10.0
Jon Secada,Do You Believe In Us,3u5e3ovyvQLoauwUzWezvX,1992-01-01,0.662,0.891,3.0,-7.245,1.0,0.0349,0.0103,3.64e-06,0.634,0.743,107.75,audio_features,spotify:track:3u5e3ovyvQLoauwUzWezvX,https://api.spotify.com/v1/tracks/3u5e3ovyvQLoauwUzWezvX,https://api.spotify.com/v1/audio-analysis/3u5e3ovyvQLoauwUzWezvX,239267.0,4.0,1992,10.0
Jon Secada,Angel,543d68hZ4dzVePFfdVc0Ki,1992-01-01,0.485,0.477,0.0,-8.948,1.0,0.0262,0.295,3.35e-05,0.202,0.134,151.704,audio_features,spotify:track:543d68hZ4dzVePFfdVc0Ki,https://api.spotify.com/v1/tracks/543d68hZ4dzVePFfdVc0Ki,https://api.spotify.com/v1/audio-analysis/543d68hZ4dzVePFfdVc0Ki,275040.0,4.0,1992,10.0
Kenny G,Forever in Love,1PYjOMp27slDQczgZRTwmt,2006,0.375,0.493,5.0,-7.479,1.0,0.028,0.261,0.0985,0.158,0.0987,81.549,audio_features,spotify:track:1PYjOMp27slDQczgZRTwmt,https://api.spotify.com/v1/tracks/1PYjOMp27slDQczgZRTwmt,https://api.spotify.com/v1/audio-analysis/1PYjOMp27slDQczgZRTwmt,297867.0,4.0,2006,4.0
Janet Jackson,Again,0IaMMHVbpJ0LrRAeigWOXr,1993-05-18,0.359,0.287,0.0,-9.51,1.0,0.0303,0.882,0.00607,0.186,0.189,130.135,audio_features,spotify:track:0IaMMHVbpJ0LrRAeigWOXr,https://api.spotify.com/v1/tracks/0IaMMHVbpJ0LrRAeigWOXr,https://api.spotify.com/v1/audio-analysis/0IaMMHVbpJ0LrRAeigWOXr,227133.0,4.0,1993,10.0
DJ Jazzy Jeff & The Fresh Prince,Boom! Shake the Room,6l2haiCg21JT5KS1j0gUoH,2006-06-06,0.698,0.969,10.0,-3.667,0.0,0.249,0.115,0.0,0.313,0.751,100.177,audio_features,spotify:track:6l2haiCg21JT5KS1j0gUoH,https://api.spotify.com/v1/tracks/6l2haiCg21JT5KS1j0gUoH,https://api.spotify.com/v1/audio-analysis/6l2haiCg21JT5KS1j0gUoH,228653.0,4.0,2006,10.0
